Statement,Source,Date,Label,Link
"“During Biden’s first 30 months in office, just 2.1 million new jobs were created, and by contrast, during my first 30 months in office we created 4.9 million new jobs.”",Donald Trump," August 5, 2023",false,https://www.politifact.com/factchecks/2023/aug/08/donald-trump/donald-trump-vastly-underestimates-job-gains-under/
“There are polls that also say I have great approval ratings.”,Kamala Harris,"July 31, 2023 ",false,https://www.politifact.com/factchecks/2023/aug/08/kamala-harris/no-recent-public-poll-shows-kamala-harris-with-gre/
Video shows a man interrupting Republican presidential candidate Will Hurd on “The View.”,Viral image," August 7, 2023",false,https://www.politifact.com/factchecks/2023/aug/08/viral-image/altered-video-appears-to-show-republican-candidate/
Video shows President Joe Biden falling asleep “on live TV.”,Viral image,"July 27, 2023 ",false,https://www.politifact.com/factchecks/2023/aug/08/viral-image/video-doesnt-show-president-joe-biden-sleeping-dur/
“Code red emergency - poison released in the air” affecting 127 million people.,Facebook posts," August 3, 2023",barely-true,https://www.politifact.com/factchecks/2023/aug/08/facebook-posts/unhealthy-air-quality-affected-127-million-in-june/
"Says Gov. Ron DeSantis “opposed my China tariffs and he heartlessly opposed” $28 billion for farm relief, which was paid for by China.",Donald Trump,"July 29, 2023 ",false,https://www.politifact.com/factchecks/2023/aug/08/donald-trump/trump-keeps-saying-ron-desantis-opposed-china-tari/
“Disease X” is “the next plandemic.”,TikTok posts," June 1, 2023",false,https://www.politifact.com/factchecks/2023/aug/07/tiktok-posts/conspiracy-theorists-falsely-claim-disease-x-is-th/
"""FBI director Wray confirms Joe Biden is under criminal investigation for Ukrainian bribes by the U.S. attorney in Delaware then tries to backpedal.”",Instagram posts," August 3, 2023",false,https://www.politifact.com/factchecks/2023/aug/07/instagram-posts/fbi-director-didnt-confirm-joe-biden-bribery-inves/
“We’re seeing two massive explosions on U.S. critical infrastructure in the past 24 hours that have caused power outages.”,Facebook posts," August 3, 2023",false,https://www.politifact.com/factchecks/2023/aug/07/facebook-posts/no-two-massive-explosions-havent-taken-out-us-crit/
"""Some states have “tried to ban teaching Latino and Hispanic history.”",Kamala Harris,"July 21, 2023 ",barely-true,https://www.politifact.com/factchecks/2023/aug/07/kamala-harris/kamala-harris-claim-about-states-banning-teaching/
